"",".id","Year","Age","Sex","Deaths","Exposures"
"264",3,2012,87,"Total",16736,151398.52
"265",1,2012,88,"Female",9796,88886.14
"266",2,2012,88,"Male",6731,43603.79
"267",3,2012,88,"Total",16527,132489.93
"268",1,2012,89,"Female",9901,77226.55
"269",2,2012,89,"Male",6099,34893.92
"270",3,2012,89,"Total",16000,112120.47
"271",1,2012,90,"Female",9408,62006.77
"272",2,2012,90,"Male",5315,27587.18
"273",3,2012,90,"Total",14723,89593.95
"274",1,2012,91,"Female",8595,50629.27
"275",2,2012,91,"Male",4490,19778.07
"276",3,2012,91,"Total",13085,70407.34
"277",1,2012,92,"Female",7416,37066.16
"278",2,2012,92,"Male",3597,13380.3
"279",3,2012,92,"Total",11013,50446.46
"280",1,2012,93,"Female",6096,30025.63
"281",2,2012,93,"Male",2525,10003.15
"282",3,2012,93,"Total",8621,40028.78
"283",1,2012,94,"Female",5483,22779.87
"284",2,2012,94,"Male",2193,7172.8
"285",3,2012,94,"Total",7676,29952.67
"286",1,2012,95,"Female",4690,17275.96
"287",2,2012,95,"Male",1684,5437.71
"288",3,2012,95,"Total",6374,22713.67
"289",1,2012,96,"Female",3633,12957.36
"290",2,2012,96,"Male",1342,3761.43
"291",3,2012,96,"Total",4975,16718.79
"292",1,2012,97,"Female",2997,9743.26
"293",2,2012,97,"Male",1035,2600.67
"294",3,2012,97,"Total",4032,12343.93
"295",1,2012,98,"Female",2363,6839.94
"296",2,2012,98,"Male",734,1780.96
"297",3,2012,98,"Total",3097,8620.9
"298",1,2012,99,"Female",1741,4658.95
"299",2,2012,99,"Male",511,1176.7
"300",3,2012,99,"Total",2252,5835.65
"301",1,2012,100,"Female",1254,2884.56
"302",2,2012,100,"Male",369,697.17
"303",3,2012,100,"Total",1623,3581.73
"304",1,2012,101,"Female",820,1839.73
"305",2,2012,101,"Male",201,375.05
"306",3,2012,101,"Total",1021,2214.78
"307",1,2012,102,"Female",495,1079.76
"308",2,2012,102,"Male",124,249.18
"309",3,2012,102,"Total",619,1328.94
"310",1,2012,103,"Female",332,604.16
"311",2,2012,103,"Male",69,109.32
"312",3,2012,103,"Total",401,713.48
"313",1,2012,104,"Female",187,342.84
"314",2,2012,104,"Male",34,54.46
"315",3,2012,104,"Total",221,397.3
"316",1,2012,105,"Female",113,189.35
"317",2,2012,105,"Male",16,26.75
"318",3,2012,105,"Total",129,216.1
"319",1,2012,106,"Female",56,87.27
"320",2,2012,106,"Male",16,16.27
"321",3,2012,106,"Total",72,103.54
"322",1,2012,107,"Female",37,39.77
"323",2,2012,107,"Male",6,8.16
"324",3,2012,107,"Total",43,47.93
"325",1,2012,108,"Female",10,13.66
"326",2,2012,108,"Male",2,3
"327",3,2012,108,"Total",12,16.66
"328",1,2012,109,"Female",9,13
"329",2,2012,109,"Male",2,0
"330",3,2012,109,"Total",11,13
"331",1,2012,110,"Female",5,6
"332",2,2012,110,"Male",5,5
"333",3,2012,110,"Total",10,11
