.id,Year,Sex,q0,e0,q45_60
AUS,2003,m,0.00537,77.94,0.06553220283027794
AUS,2004,b,0.0047,80.74,0.05221239300858016
AUS,2004,f,0.00422,83.17,0.03962284635787672
AUS,2004,m,0.00514,78.27,0.06455498291682127
AUS,2005,b,0.00508,81.1,0.0509926828483126
AUS,2005,f,0.00471,83.47,0.038707494805212295
AUS,2005,m,0.00542,78.67,0.06310377990891658
AUS,2006,b,0.0048,81.27,0.049952894839202955
AUS,2006,f,0.00422,83.58,0.03818534492437953
AUS,2006,m,0.00534,78.91,0.06160582102527046
AUS,2007,b,0.00428,81.24,0.051555171724643745
AUS,2007,f,0.00393,83.53,0.03905520885403857
AUS,2007,m,0.0046,78.91,0.06399793725377878
AUS,2008,b,0.00425,81.43,0.04924624163903879
AUS,2008,f,0.00377,83.7,0.03739461896796992
AUS,2008,m,0.00471,79.14,0.06103764044023374
AUS,2009,b,0.00413,81.73,0.04965636125043005
AUS,2009,f,0.00351,84,0.03847403426636464
AUS,2009,m,0.00472,79.44,0.06088802872041732
AUS,2010,b,0.00409,82.02,0.04818649756865501
AUS,2010,f,0.00341,84.2,0.03642842494442422
AUS,2010,m,0.00475,79.8,0.05998118849887124
AUS,2011,b,0.00378,82.09,0.04820647831295333
AUS,2011,f,0.00339,84.25,0.036795707155647284
AUS,2011,m,0.00415,79.91,0.05970930405705388
AUS,2012,b,0.00334,82.29,0.04616967326885779
AUS,2012,f,0.00316,84.3,0.03501694022508073
AUS,2012,m,0.0035,80.26,0.057477761482766176
AUS,2013,b,0.00366,82.54,0.047231294860852646
AUS,2013,f,0.00351,84.61,0.03610976394187071
AUS,2013,m,0.00379,80.46,0.05851752578991809
AUS,2014,b,0.0034,82.51,0.04721223517699802
AUS,2014,f,0.00332,84.49,0.03590693677788992
AUS,2014,m,0.00347,80.52,0.05872541856672708
AUS,2015,b,0.00313,82.6,0.04813923266789033
AUS,2015,f,0.00285,84.62,0.036428577321445554
AUS,2015,m,0.00338,80.56,0.06011453950630108
AUS,2016,b,0.00305,82.8,0.04682012054234774
AUS,2016,f,0.00276,84.85,0.03573282261286481
AUS,2016,m,0.00334,80.75,0.05812970839623366
AUS,2017,b,0.00335,82.71,0.04704887348518927
AUS,2017,f,0.00311,84.74,0.03596468618324711
AUS,2017,m,0.00357,80.68,0.05846866529077166
AUS,2018,b,0.00314,83.25,0.045700911559166335
AUS,2018,f,0.00273,85.29,0.0349205272275267
AUS,2018,m,0.00353,81.21,0.056777257371299905
AUS,2019,b,0.00323,83.24,0.045259919375778335
AUS,2019,f,0.00286,85.27,0.03371059385582498
AUS,2019,m,0.00359,81.2,0.057097731495725945
AUS,2020,b,0.00308,83.66,0.044397400327141456
AUS,2020,f,0.00275,85.69,0.033380625345242554
AUS,2020,m,0.00339,81.63,0.05570580233264255
AUS,2021,b,0.00328,83.47,0.044656553512522734
AUS,2021,f,0.00309,85.45,0.033652725412322115
AUS,2021,m,0.00346,81.5,0.055828505120440464
AUT,1947,b,0.08461,61.54,0.1589289373129651
AUT,1947,f,0.07566,64.01,0.12512270137781434
AUT,1947,m,0.09293,58.95,0.19964524442516418
AUT,1948,b,0.07939,63.21,0.15375921531013537
AUT,1948,f,0.06976,65.77,0.12158251478921
AUT,1948,m,0.08837,60.53,0.1926216433821072
AUT,1949,b,0.07287,63.47,0.15620661377654232
AUT,1949,f,0.06419,65.77,0.1254001061244775
AUT,1949,m,0.08104,61.02,0.19340446057244332
AUT,1950,b,0.06541,64.81,0.15327194917247633
AUT,1950,f,0.05708,67.28,0.12015104135313404
AUT,1950,m,0.07327,62.18,0.1929993459515702
AUT,1951,b,0.06005,65.22,0.15264753399779352
AUT,1951,f,0.05181,67.81,0.11602759061492585
AUT,1951,m,0.06784,62.48,0.19635715733452042
AUT,1952,b,0.05229,66.74,0.1434910962671886
AUT,1952,f,0.04531,69.23,0.11064688359343011
AUT,1952,m,0.05888,64.09,0.18282176331033562
AUT,1953,b,0.04979,67.25,0.13993303309148186
AUT,1953,f,0.04313,69.71,0.106586280516756
AUT,1953,m,0.05606,64.61,0.17965933007119828
AUT,1954,b,0.04848,67.28,0.14041192139724978
AUT,1954,f,0.04185,69.88,0.10776902423406465
AUT,1954,m,0.05476,64.49,0.17921320493227177
AUT,1955,b,0.04651,67.55,0.13740862210943683
AUT,1955,f,0.03956,70.36,0.10235382473959242
AUT,1955,m,0.05308,64.56,0.178656450120653
AUT,1956,b,0.04442,67.68,0.1385678383269232
AUT,1956,f,0.03848,70.54,0.102374654107935
AUT,1956,m,0.05009,64.63,0.18074247062357185
AUT,1957,b,0.04448,67.44,0.1407955452848827
AUT,1957,f,0.03846,70.51,0.10179816640378825
AUT,1957,m,0.05018,64.21,0.18590894773216438
AUT,1958,b,0.04076,68.45,0.13375595193609013
AUT,1958,f,0.03675,71.37,0.09898183811950223
AUT,1958,m,0.04455,65.33,0.17399293773454372
AUT,1959,b,0.04029,68.39,0.13378614803721933
AUT,1959,f,0.03619,71.39,0.09453581745636641
AUT,1959,m,0.04416,65.19,0.17903701205149014
AUT,1960,b,0.03757,68.74,0.13331323979975707
AUT,1960,f,0.03287,71.9,0.09536971352855916
AUT,1960,m,0.04199,65.39,0.17729017752099518
AUT,1961,b,0.03339,69.71,0.12793537852917214
AUT,1961,f,0.02872,72.77,0.09281389281529662
AUT,1961,m,0.0378,66.41,0.16903583362184738
AUT,1962,b,0.03291,69.5,0.1289361532874349
AUT,1962,f,0.02913,72.48,0.091472146503844165
AUT,1962,m,0.03648,66.28,0.173044992882053
AUT,1963,b,0.03111,69.65,0.1258013797820332
AUT,1963,f,0.02758,72.66,0.0923911019361866
AUT,1963,m,0.03448,66.4,0.16577667001824736
AUT,1964,b,0.02915,70.12,0.12383672795111056
AUT,1964,f,0.0251,73.19,0.08949684235511757
AUT,1964,m,0.03304,66.78,0.16549185404378608
AUT,1965,b,0.02765,69.93,0.12488148232500629
AUT,1965,f,0.02492,72.99,0.0915226868276614
AUT,1965,m,0.03026,66.6,0.16598240056273028
AUT,1966,b,0.02802,70.22,0.12146604863111754
AUT,1966,f,0.0239,73.34,0.0882826507080039
AUT,1966,m,0.03195,66.84,0.16291322187959756
AUT,1967,b,0.02617,70.12,0.12133482869336953
AUT,1967,f,0.02201,73.37,0.0887828750839339
AUT,1967,m,0.03012,66.62,0.16266382248173272
AUT,1968,b,0.02525,70.27,0.12096018461108526
AUT,1968,f,0.02208,73.52,0.0872656961350734
AUT,1968,m,0.02824,66.76,0.16407618309064598
AUT,1969,b,0.02484,70.04,0.12450788061705398
AUT,1969,f,0.02098,73.27,0.09308924163236543
AUT,1969,m,0.02849,66.56,0.16511431279930133
AUT,1970,b,0.02494,70.09,0.12245024524026782
AUT,1970,f,0.0214,73.42,0.0892646784319342
AUT,1970,m,0.02829,66.51,0.16552894481726055
AUT,1971,b,0.02559,70.29,0.11829901192979764
AUT,1971,f,0.02164,73.67,0.08495375780693204
AUT,1971,m,0.02932,66.66,0.16174768968765085
AUT,1972,b,0.0246,70.62,0.11800794475838372
AUT,1972,f,0.0215,74.02,0.08356035123435501
AUT,1972,m,0.02753,66.95,0.16286585138894605
AUT,1973,b,0.02302,71.2,0.1145780298358059
AUT,1973,f,0.01945,74.57,0.08310031809146479
AUT,1973,m,0.0264,67.54,0.1557134179651256
AUT,1974,b,0.02338,71.18,0.1163169667635946
AUT,1974,f,0.01955,74.62,0.08354004233567924
AUT,1974,m,0.027,67.44,0.15867845791126278
AUT,1975,b,0.02006,71.33,0.11651585766920125
